Sturt,One,2.57
Sturt,AUP,0.41
Sturt,UAP,2.67
Sturt,CYA,0.67
Sturt,AJP,1.36
Sturt,LDP,1.02
Sturt,DPDA,0.89
Sturt,Lib,43.14
Bass,Ind,5.03
Bass,JLN,6.69
Bass,Grn,11.1
Bass,Lib,39.73
Bass,AJP,1.41
Bass,LDP,1.07
Bass,UAP,1.66
Bass,One,4.71
Bass,ALP,28.61
Braddon,One,4.34
Braddon,Grn,6.72
Braddon,Lib,44.11
Braddon,TLOC,1.02
Braddon,ALP,22.5
Braddon,UAP,1.42
Braddon,Ind,7.84
Braddon,AJP,0.8
Braddon,JLN,9.87
Braddon,LDP,1.38
Clark,One,2.6
Clark,ALP,18.76
Clark,LDP,1.12
Clark,Lib,15.85
Clark,Grn,13.45
Clark,Ind,45.54
Clark,AJP,1.26
Clark,UAP,1.43
Franklin,TLOC,4.96
Franklin,ALP,36.69
Franklin,LDP,2.01
Franklin,One,2.85
Franklin,UAP,1.94
Franklin,JLN,5.92
Franklin,Lib,26.73
Franklin,AJP,1.54
Franklin,Grn,17.36
Lyons,Lib,37.22
Lyons,LDP,1.62
Lyons,ALP,29.04
Lyons,AJP,1.79
Lyons,UAP,2.69
Lyons,JLN,10.86
Lyons,One,5.35
Lyons,Grn,11.43
Aston,UAP,6.1
Aston,Lib,43.05
Aston,Grn,12.08
Aston,TNL,0.99
Aston,One,3.08
Aston,LDP,2.15
Aston,ALP,32.55
Ballarat,Grn,14.59
Ballarat,Lib,27.09
Ballarat,Ind,2.12
Ballarat,CYA,0.71
Ballarat,UAP,3.83
Ballarat,One,3.6
Ballarat,LDP,3.33
Ballarat,ALP,44.74
Bendigo,Ind,4.33
Bendigo,ALP,42.98
Bendigo,Lib,26.63
Bendigo,Grn,14.06
Bendigo,LDP,2.89
Bendigo,One,5.52
Bendigo,UAP,3.59
Bruce,LDP,5.06
Bruce,UAP,8.71
Bruce,One,4.77
Bruce,ALP,41.47
Bruce,Lib,30.26
Bruce,Grn,9.73
Calwell,One,7.01
Calwell,Lib,23.66
Calwell,Grn,9.74
Calwell,ALP,44.86
Calwell,UAP,8.92
Calwell,VNS,4.04
Calwell,CYA,1.78
Casey,Grn,12.94
Casey,Ind,3.47
Casey,AJP,1.85
Casey,Lib,36.49
Casey,ALP,24.87
Casey,One,3.27
Casey,CYA,0.69
Casey,LDP,2.02
Casey,DHJP,1.21
Casey,UAP,4.85
Casey,Ind,8.34
Chisholm,Lib,36.3
Chisholm,DHJP,0.98
Chisholm,CYA,0.59
Chisholm,One,1.43
