,,,,,,,,,,
StateAb,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,CalculationType,CalculationValue
ACT,Fenner,1,1,36234,LEIGH,Andrew,ALP,Australian Labor Party,Transfer Percent,14.95
ACT,Fenner,1,2,37203,KUSTER,Nathan,LP,Liberal,Preference Count,26104
ACT,Fenner,1,2,37203,KUSTER,Nathan,LP,Liberal,Preference Percent,28.6
ACT,Fenner,1,2,37203,KUSTER,Nathan,LP,Liberal,Transfer Count,688
ACT,Fenner,1,2,37203,KUSTER,Nathan,LP,Liberal,Transfer Percent,40.33
ACT,Fenner,1,3,36237,ELTON,Timothy Peter,UAPP,United Australia Party,Preference Count,2584
ACT,Fenner,1,3,36237,ELTON,Timothy Peter,UAPP,United Australia Party,Preference Percent,2.83
ACT,Fenner,1,3,36237,ELTON,Timothy Peter,UAPP,United Australia Party,Transfer Count,238
ACT,Fenner,1,3,36237,ELTON,Timothy Peter,UAPP,United Australia Party,Transfer Percent,13.95
ACT,Fenner,1,4,37458,GRANT,Lucia,ON,Pauline Hanson's One Nation,Preference Count,2692
ACT,Fenner,1,4,37458,GRANT,Lucia,ON,Pauline Hanson's One Nation,Preference Percent,2.95
ACT,Fenner,1,4,37458,GRANT,Lucia,ON,Pauline Hanson's One Nation,Transfer Count,273
ACT,Fenner,1,4,37458,GRANT,Lucia,ON,Pauline Hanson's One Nation,Transfer Percent,16
ACT,Fenner,1,5,36242,SOJIC,Natasa,GRN,The Greens,Preference Count,15546
ACT,Fenner,1,5,36242,SOJIC,Natasa,GRN,The Greens,Preference Percent,17.03
ACT,Fenner,1,5,36242,SOJIC,Natasa,GRN,The Greens,Transfer Count,252
ACT,Fenner,1,5,36242,SOJIC,Natasa,GRN,The Greens,Transfer Percent,14.77
ACT,Fenner,1,6,37599,JAKEMAN,Guy,LDP,Liberal Democrats,Preference Count,0
ACT,Fenner,1,6,37599,JAKEMAN,Guy,LDP,Liberal Democrats,Preference Percent,0
ACT,Fenner,1,6,37599,JAKEMAN,Guy,LDP,Liberal Democrats,Transfer Count,-1706
ACT,Fenner,1,6,37599,JAKEMAN,Guy,LDP,Liberal Democrats,Transfer Percent,-100
