ID1,ID2,Number
GRN,ALP,8853
GRN,ON,2178
GRN,LNP,2594
IND,LNP,40
IND,IMO,24
IND,AJP,45
IND,IND,348
IND,GRN,95
IND,UAPP,38
IND,ALP,57
IND,GAP,32
IND,ON,54
GAP,LNP,56
GAP,IMO,443
GAP,AJP,53
GAP,IND,104
GAP,GRN,54
GAP,UAPP,199
GAP,ALP,53
GAP,ON,389
IND,LNP,204
IND,IMO,359
IND,AJP,376
IND,GRN,289
IND,UAPP,180
IND,ALP,191
IND,ON,276
AJP,LNP,285
AJP,IMO,748
AJP,GRN,964
AJP,UAPP,172
AJP,ALP,261
AJP,ON,226
IMO,LNP,294
IMO,GRN,727
IMO,UAPP,967
IMO,ALP,173
IMO,ON,1410
UAPP,LNP,1013
UAPP,GRN,652
UAPP,ALP,502
UAPP,ON,5521
ON,LNP,7674
ON,GRN,4333
ON,ALP,2667
AJP,ON,471
AJP,ALP,311
AJP,LNP,301
AJP,GRN,1324
AJP,UAPP,323
UAPP,ON,5279
UAPP,ALP,462
UAPP,LNP,1000
UAPP,GRN,937
ON,ALP,3009
ON,LNP,8240
ON,GRN,4603
GAP,ALP,153
GAP,GRN,130
GAP,ON,842
GAP,IND,397
GAP,UAPP,407
GAP,LNP,83
GRN,ALP,2420
GRN,ON,436
GRN,IND,809
GRN,UAPP,202
GRN,LNP,270
IND,ALP,1283
IND,ON,1592
IND,UAPP,1346
IND,LNP,730
UAPP,ALP,963
UAPP,ON,5857
UAPP,LNP,1401
TNL,UAPP,63
TNL,LNP,77
TNL,GRN,170
TNL,ALP,104
TNL,ON,66
TNL,LDP,46
TNL,IND,154
TNL,AJP,48
AJP,UAPP,230
AJP,LNP,150
AJP,GRN,626
AJP,ALP,236
AJP,ON,287
AJP,LDP,101
AJP,IND,862
LDP,UAPP,712
LDP,LNP,765
LDP,GRN,174
LDP,ALP,274
LDP,ON,509
LDP,IND,381
IND,UAPP,711
IND,LNP,534
IND,GRN,1045
IND,ALP,728
IND,ON,1352
UAPP,LNP,2582
UAPP,GRN,1226
UAPP,ALP,791
UAPP,ON,4602
GRN,LNP,2490
GRN,ALP,7852
GRN,ON,2218
UAPP,ON,1547
UAPP,GRN,359
UAPP,ALP,201
UAPP,LNP,474
ON,GRN,1538
ON,ALP,618
ON,LNP,2895
CYA,ON,680
CYA,GRN,159
CYA,UAPP,262
CYA,IND,133
CYA,IND,120
CYA,LNP,100
CYA,ALP,85
UAPP,ON,3116
UAPP,GRN,275
UAPP,IND,577
UAPP,IND,370
UAPP,LNP,574
UAPP,ALP,272
GRN,ON,682
GRN,IND,1218
GRN,IND,1364
GRN,LNP,408
GRN,ALP,2378
